八	ba1	1A0AENG ◼ eight ◼ 8GER ◼ achtRAD ◼ KangXi 12: eightINFORMATION1A0PVARIANTS: 丷DISTINGUISH FROM: 入 [rù] · 人 [rén]DICTIONARY ENTRIES: 一二三四五六七八九十CHARACTER1A0PSTROKES: (2)񃔉 񃔊MNEMONICS: ◼ Indicates separation, to split somethingMEANING AS COMPONENT: ◼ to separate or distinguishORIGINS: 八 represents the original meaning "to separate or distinguish" using two separated strokes. It was borrowed for its pronunciation (i.e. via sound loan) to represent the number eight.ANCIENT FORM: AA10񃔇OCCURRENCES1A0PRELATIVES: 半 [bàn] · 分 [fēn] A0PAA00https://zi.tools/zi/八
勹	bao1	1A0ARAD ◼ KangXi 20: wrapINFORMATION1A0PVARIANTS: 包 (archaic)DISTINGUISH FROM: 刁 [diāo] · 力 [lì]CHARACTER1A0PSTROKES: (2)񃫖 񃫗MNEMONICS: ◼ person is holding or covering somethingMEANING AS COMPONENT: ◼ lean forward (orig.) ◼ grouping or enclosing smth (derived from 包)ORIGINS: 勹 depicts a person bending over, as if to lean forward over and rest their weight on an object. The original meaning is to lean forward over and rest one's weight on an object.ANCIENT FORM: AA10񁾑OCCURRENCES1A0PRELATIVES: 包 [bāo] A0PAA00https://zi.tools/zi/勹
贝[貝]	bei4	1A0AENG ◼ cowrie, shellfish ◼ currency (archaic)GER ◼ Muschel, Kaurimuschel, Kaurieschnecke ◼ Muschelgeld, GeldRAD ◼ KangXi 154: shellINFORMATION1A0PDISTINGUISH FROM: 见/見 [jiàn]CHARACTER1A0PSTROKES: (4)񁶍 񁶎 񁶏 񁶐MNEMONICS: ◼ cowrie shells were used as currency in ancient times ◼ two halves of a sea shell ◼ animal that crawls in and out of it's shellMEANING AS COMPONENT: ◼ money ◼ value ◼ transactionsORIGINS: 貝 is a picture of a cowry shell. Many ancient cultures used shells as currency. 贝 replaces 貝 in Simplified Chinese via regularization of cursive. In some characters that use the radical 貝 in the traditional form, 贝 is also used for simplification.OCCURRENCES1A0PRELATIVES: 贵/貴 [guì] A0PAA00https://zdic.net/hans/贝https://zi.tools/zi/贝https://zdic.net/hans/貝https://zi.tools/zi/貝
冫	bing1	1A0ARAD ◼ KangXi 15: ice ◼ 两点水 [liǎngdiǎnshuǐ]INFORMATION1A0PDISTINGUISH FROM: 彡 [shān] · 氵 [shuǐ]CHARACTER1A0PSTROKES: (2)񃎪 񃎫MNEMONICS: ◼ possibly a reduction of 仌 [bīng] (ice, cold)MEANING AS COMPONENT: ◼ cold and icy thingsORIGINS: 冫 depicts metal plates. The original meaning is related to 呂 [lǚ] (two copper plates). This meaning can still be seen in 冶 [yě] "to smelt" and 凝 [níng] "to condense". Later it was borrowed to mean "ice".ANCIENT FORM: AA10񃎨OCCURRENCES1A0PRELATIVES: 冰 [bīng] · 冷 [lěng] A0PAA00https://zi.tools/zi/冫
不	bu4	1A0AENG ◼ no, not so ◼ (bound form, as negative prefix) not, un-GER ◼ nicht ◼ neinINFORMATION1A0PDICTIONARY ENTRIES: _不_CHARACTER1A0PSTROKES: (4)񴿠 񴿡 񴿢 񴿣MNEMONICS: ◼ the roots of a plant, that won't be pulled outMEANING AS COMPONENT: ◼ root and stem of a flower ◼ not, noORIGINS: 不 depicts the root and/or stem and calyx of a flower.ANCIENT FORM: AA10񴿞OCCURRENCES1A0PRELATIVES: 还/還 [hái] · 杯 [bēi]WORDS: 不是 [bùshì] · 不要 [bùyào] · 不会 [bùhuì] · 不再 [bùzài]
艸	cao3	1A0ARAD ◼ KangXi 140: grassINFORMATION1A0PVARIANTS: 艹CHARACTER1A0PSTROKES: (7)񃺪 񃺫 񃺬 񃺮 񃺯 񃺰COMPONENTS: ◼ 屮 [chè]: form: newly sprouted vegetationMNEMONICS: ◼ grass are small plants growing/sprouting side by sideMEANING AS COMPONENT: ◼ grass ◼ plants, (non-tree) vegetation ◼ broad term, general concept of plantsORIGINS: 艸 is composed of two 屮 [chè] (non-tree vegetation) components. The character originally represented newly sprouted vegetation (same as 木 [mù] and 屮 [chè]) and only later excluded trees. It is mostly used in component form 艹.ANCIENT FORM: AA10񂶅 A0PAA00https://zi.tools/zi/艸
屮	che4	1A0ARAD ◼ KangXi 45: sproutINFORMATION1A0PDISTINGUISH FROM: 山 [shān]CHARACTER1A0PSTROKES: (3)񄔔 񄔕 񄔖MNEMONICS: ◼ Sprouts growing from the ground (like herbs)MEANING AS COMPONENT: ◼ non-tree vegetation (sprouting plants)ORIGINS: 屮 is a picture of newly sprouted vegetation. Before, this included both smaller, non-tree plants as well as trees (屮 [chè] , 艸 [cǎo] , and 木 [mù] wer used interchangeably). Later, it came to mean only non-tree vegetation.ANCIENT FORM: AA10񄔒OCCURRENCES1A0PRELATIVES: 艸 [cǎo] A0PAA00https://zi.tools/zi/屮
虫[蟲]	chong2	1A0AENG ◼ lower form of animal life ( insects, insect larvae, worms) ◼ people who behave despicably ◼ fan, addictGER ◼ Insekt, WurmRAD ◼ KangXi 142: insectCHARACTER1A0PSTROKES: (6)񁸀 񁸁 񁸂 񁸃 񁸄 񁸅MNEMONICS: ◼ mosquito planting it's stinger 中 in your revealed skinMEANING AS COMPONENT: ◼ worm, insectORIGINS: 虫 depicts a venomous snake, which is also its original meaning. 虫 was the original character for 虺 [huǐ], but was used (as a component) to write "insect" (traditional: 蟲) as early as the Qin Dynasty. In Simplified Chinese, 虫 replaces 蟲 by omitting two of the three 虫.ANCIENT FORM: AA10񁷽񁷾OCCURRENCES1A0PRELATIVES: 蛋 [dàn] A0PAA00https://zi.tools/zi/虫
寸	cun4	1A0AENG ◼ small, tiny, little, short ◼ inch ◼ thumbGER ◼ sehr wenig ◼ DaumenMW ◼ used for pizza and screens (inch) ◼ a trad. unit of length ◼ 寸 = 3.3 cm = 1.3 in, 尺 = 10 寸RAD ◼ KangXi 41: inch, thumbCHARACTER1A0PSTROKES: (3)񁨆 񁨇 񁨈MNEMONICS: ◼ A thing 丶 which is smaller than the hand. The spot one inch below the wrist where the pulse is measured.MEANING AS COMPONENT: ◼ actions done by hand ◼ measurement of things ◼ investigation ◼ attentiveness ◼ direction, guidanceORIGINS: 寸 depicts a hand with a mark below the wrist, around the area where the pulse is taken, which is also the place where ancient Chinese medicine practitioner cuts cut the veins. Originally the character referred to that spot on the wrist.ANCIENT FORM: AA10񁨄OCCURRENCES1A0PRELATIVES: 时/時 [shí] · 对/對 [duì] A0PAA00https://zi.tools/zi/寸
大	da4	1A0AENG ◼ big, vast, large, great ◼ greatly, fully, extremely ◼ eldest, older than ◼ (courteous) your ◼ (dialecat) father, paternal fatherGER ◼ groß, bedeutend, gewaltig ◼ altRAD ◼ KangXi 37: bigOPP ◼ 小 [xiǎo]CHARACTER1A0PSTROKES: (3)񁠗 񁠘 񁠙MNEMONICS: ◼ A man with arms and legs spread, trying to convey something largeMEANING AS COMPONENT: ◼ adult person ◼ smth. big, large, strong, old, etc.ORIGINS: 大 depicts the front view of a standing adult person. Originally, the character meant adult man, as in opposition to 子 [zǐ], and by extension to also mean big. Later, the character for adult man 夫 [fū] was derived from 大.ANCIENT FORM: AA10񁠕OCCURRENCES1A0PRELATIVES: 太 [tài] A0PAA00https://zi.tools/zi/大
刀	dao1	1A0AENG ◼ knife, blade, sword ◼ money, old knife-shaped coinGER ◼ Messer, Schwert, Hiebwaffe, SäbelMW ◼ knife cuts or stabs ◼ [paper] 100 sheetsRAD ◼ KangXi 18: knifeINFORMATION1A0PVARIANTS: 刂 · 刁 · 𠚣 · ⺈DISTINGUISH FROM: 力 · 勹CHARACTER1A0PSTROKES: (2)񃔿 񃕀MNEMONICS: ◼ a chinese cleaver (squared) knife that is held horizontallyMEANING AS COMPONENT: ◼ blade, sharpness ◼ actions undertaken with sharp items like cuttingORIGINS: 刀 is a picture of a knife. The lower/right part is the handle, and the upper/left one is the blade. When it appears as a component on the right side of a character, it is written 刂. Note: In ancient times, there was an old coin shaped like a knife (刀币 [dāobì]), which was based on a bronze tool (削 [xiāo]). This brought the meaning of money to the character of 刀 (US Dollar 美刀 [měidāo]).ANCIENT FORM: AA10񃍄OCCURRENCES1A0PRELATIVES: 分 [fēn] A0PAA00https://zi.tools/zi/刀
